record_id,action,record_id_match
P2012K0578,reassign,
P2016K0021,reassign,
P2012K0665,reassign,
P2011K0059,reassign,
P2013K0162,reassign,
P2012Q0311,reassign,
2018K0488,reassign,
2018X0374,reassign,
P2014X0121,reassign,
P2012K0578,reassign,
P2015K0246,reassign,
P2017M0088,reassign,
2020R0131,reassign,
2019R0459,reassign,
P2016M0065,reassign,
P2014M0038,reassign,
P2012M0032,reassign,
P2014R0404,reassign,
P2016M0421,reassign,
P2017M0151,reassign,
P2018M0158,reassign,
2019M0256,reassign,
P2018R0247,reassign,
P2007R0363,reassign,
P2015M0208,reassign,
P2018K0122,reassign,
2021K0214,reassign,
2020K0321,reassign,
P2015K0351,reassign,
2021K0148,reassign,
P2015M0208,reassign,
2019M0215,reassign,2019M0185
2019M0453,reassign,2019M0185
2019M0454,reassign,2019M0185
2019R0203,reassign,P2017R0344
P2017M0157,reassign,2019M0254
P2016M0289,reassign,2019M0253
P2016Q0413,reassign,2019Q0331
P2011X0056,reassign,P2011X0057
2019Q0361,reassign,2021Q0259
P2014K0469,reassign,2019K0469
P2017Q0427,reassign,2020Q0167
P2016X0408,reassign,P2018X0163
P2015K0203,reassign,2020K0403
P2011M0095,reassign,P2011M0070
P2010X0051,reassign,P2013X0058
P2008M0381,reassign,P2012M0045
2018X0443,reassign,P2016X0409
2021X0366,reassign,P2013X0120
2020X0436,reassign,P2016X0102
2021X0133,reassign,P2017X0037
2020X0300,reassign,P2016X0409
2019X0236,reassign,P2016X0102
2021X0277,reassign,P2016X0409
P2018X0177,reassign,P2016X0409
17e771a686003c1040fd757d9ac3b8b9,reassign,
19b38ebe1377f42d1b2596622ae44949,reassign,
a24820e6d5b912b360bc4fcc35477a78,reassign,
"P2014R0482, P2015R0073",reassign,
"P2014R0281, 2021R0165",reassign,
"2018Q0484, P2012Q0313",reassign,
"2022R0106, P2014R0174",reassign,
P2007R0109,reassign,
"P2017M0157, 2019M0254",reassign,
"2020R0483, 2019R0114",reassign,
P2002R0304,reassign,
2021R0416,reassign,
P2012R0705,reassign,
2023R0189,reassign,
"5a5b4fc7c49d845cdefb08a4b74eb23e, b36a53626b7b461ad13162d6f33940ca",reassign,2020K0199
3776b3191f0c7bd61ec4d87fa2989b1e,reassign,
"efb35905ddfb449cb21fe2445fb52710, 2018M0390",reassign,
2021K0313,reassign,
16dab19f6e182c0f2a83bf52e51ae9e2,reassign,
P2013R0326,reassign,
P2004R0227,reassign,
P2012M0561,reassign,
2021M0234,reassign,
"P2012R0140, P2016R0432, 2020R0303",reassign,
2020R0360,reassign,
P2010K0258,reassign,
P2016K0021,reassign,
"P2010R0222, P2009R0271",reassign,
"P2006R0135, P2005R0070",reassign,
99754ae908fd4241778553c31db1ea12,reassign,
P2016M0321,reassign,
P2015M0599,reassign,
P2016M0334,reassign,
P2015R0072,reassign,
P2014R0246,reassign,
P2015R0071,reassign,
P2016R0232,reassign,
P2016R0339,reassign,
2019R0242,reassign,
P2012K0364,reassign,
"2022K0307, 2022K0439",reassign,
2022K0374,reassign,
2022K0268,reassign,
"2022K0351, 2023K0194",reassign,
2022K0279,reassign,
2022K0350,reassign,
"2022K0299, 2022K0437",reassign,
"2022K0457, 2022K0297",reassign,
2022K0348,reassign,
2022K0324,reassign,
2022K0267,reassign,
2020K0477,reassign,
"2023K0202,2022K0303",reassign,
23c6d06b24c4ccc455163c635ece34e7,reassign,
418f9010ef315523f0300ff26cc4d128,reassign,
409135788fe521db0ccd1b608fd98eb6,reassign,
da5a782d5d42424b685defaed71d1580,reassign,
"P2016R0182, P2018R0021, 2021R0153",reassign,
"P2003R0448, P2005R0244",reassign,
"P2000R0352, P2004R0335",reassign,
2021K0237,reassign,
"2021R0122, 2022R0178",reassign,
P2007R0141,reassign,
2021M0117,reassign,
"2018K0376, 2021K0371",reassign,
"P2012R0355, 2021R0414",reassign,
3139ea338ff506442577d6783cde29dd,reassign,
df2fb0c1afade499b05363b1c46c4188,reassign,
"0b936ca3d68f79b98f79e360a1216cbe, d25e06d90da7395b3a8d08b9bbf5d9f4, 82303b27b7cda957fb5e669b8c4a9941",reassign,
P2011X0093,reassign,
P2012X0223,reassign,
61e2d1fdd97edc54aef77a910a9f986c,reassign,
P2010R0217,reassign,
P2011R0038,combine,P2014R0149
P2012R0550,combine,P2014R0032
P2017K0286,combine,0796942e039b65316236acd22a82516b
"P2017R0108,P2018R0093",reassign,2019R0242
"P2015R0071,P2014R0246",combine,P2015R0072
P2007R0109,combine,P2014R0281
2022K0299,combine,2022K0437
2022K0351,combine,2023K0194
2022K0297,combine,2022K0457
2019M0237,reassign,
P2012M0082,reassign,
"2022M0258,3c0ccf08003c1e60e2b115166c116407,1d3dfaece250d7eca1eb49f158eb8ad9",reassign,
2020M0383,reassign,
P2015M0293,reassign,
"2019M0453,2019M0215",reassign,
P2009M0320,reassign,
"2021M0244,P2015M0359",reassign,
2022M0326,reassign,
2022M0136,reassign,
"2021M0352,5d9415254e368f9412a04fd32c1c144c,0ee105d40fce351f45ef35a809e5515f",reassign,
2020M0414,reassign,
2020M0503,reassign,
2018M0383,reassign,
2019M0031,reassign,
2023M0142,reassign,
