record_id,action,record_id_match
2021M0262,reassign,
2019M0216,reassign,
"2019M0454,2019M0185",reassign,
P2018M0162,reassign,
2021M0432,reassign,
2019M0210,reassign,
P2007M0423,reassign,
P2008M0221,reassign,
P2012M0293,reassign,
P2012M0303,reassign,
P2017M0438,reassign,
P2013M0520,reassign,
P2012M0650,reassign,
"P2012M0045,P2008M0381",reassign,
P2009M0322,reassign,
P2007M0407,reassign,
P2012M0582,reassign,
P2014M0075,reassign,
P2012M0485,reassign,
P2012M0587,reassign,
P2014M0166,reassign,
P2014M0132,reassign,
P2014M0285,reassign,
96177a77b5f7765e200d5270bf15dab0,reassign,
"d49bc011613475a4023f8408d730075a,4f40585c971f6f07a724eeb34d0d4a6f,2019K0208",reassign,
2021K0221,reassign,
2021K0340,reassign,
2018K0445,reassign,
P2018K0116,reassign,
2021K0173,reassign,
2020K0316,reassign,
2020K0484,reassign,
P2012K0250,reassign,
P2017R0024,combine,P2018R0071
"2019R0150,P2011R0038,P2014R0149",reassign,
"1968f758b2cdbf16a6c39e9488487df3,4ba82c9131b9d4588e96409b4e54ac07,fb88ab7d1540e29d2bb389f49c4b1cfb",reassign,
2019M0352,combine,8f94679748fef563dd4f2c6496533f12
