record_id,action,editor,date,notes
P2017M0010,remove,HED,4/5/2021,cluster review round 1
2019M0323,remove,HED,4/5/2021,cluster review round 1
P2015M0570,remove,HED,4/5/2021,cluster review round 1
P2015M0564,remove,HED,4/5/2021,cluster review round 1
P2015M0493,remove,HED,4/5/2021,cluster review round 1
P2018M0272,remove,HED,4/5/2021,cluster review round 1
P2014M0256,remove,HED,4/5/2021,cluster review round 1
P2014M0239,remove,HED,4/5/2021,cluster review round 1
P2013M0099,remove,HED,4/5/2021,cluster review round 1
P2013M0023,remove,HED,4/5/2021,cluster review round 1
P2012M0296,remove,HED,4/5/2021,cluster review round 1
P2012M0268,remove,HED,4/5/2021,cluster review round 1
P2011M0067,remove,HED,4/5/2021,cluster review round 1
P2011M0060,remove,HED,4/5/2021,cluster review round 1
2020M0182,remove,HED,4/5/2021,cluster review round 1
2020M0301,remove,HED,4/5/2021,cluster review round 1
2020M0397,remove,HED,4/5/2021,cluster review round 1
P2017M0470,remove,HED,4/5/2021,cluster review round 1
2018M0412,remove,HED,4/5/2021,cluster review round 1
P2010M0153,remove,HED,4/5/2021,cluster review round 1
P2010M0028,remove,HED,4/5/2021,cluster review round 1
2018Q0377,remove,HED,4/5/2021,cluster review round 1
P2018M0041,remove,HED,4/5/2021,cluster review round 1
P2018M0265,remove,HED,4/5/2021,cluster review round 1
P2018M0292,remove,HED,4/5/2021,cluster review round 1
P2018Q0139,remove,HED,4/5/2021,cluster review round 1
P2018Q0196,remove,HED,4/5/2021,cluster review round 1
P2018Q0230,remove,HED,4/5/2021,cluster review round 1
P2007M0372,add,Capital Planning: Mark Shapiro,4/29/2020,Project requested by planner for inclusion in 2019 KPDB (B. Tuttle)
P2012K0003,remove,Capital Planning: Mark Shapiro,4/29/2020,Non-residential
P2013M0383,remove,Capital Planning: Mark Shapiro,4/29/2020,Non-residential
P2013R0291,remove,Capital Planning: Mark Shapiro,4/29/2020,Non-residential
P2014R0140,remove,Capital Planning: Mark Shapiro,4/29/2020,Non-residential
P2016Q0359,remove,Capital Planning: Mark Shapiro,4/29/2020,Non-residential
P2014M0333,remove,Capital Planning: Mark Shapiro,5/22/2020,Record should be closed
P2014M0466,remove,Capital Planning: Mark Shapiro,5/22/2020,Dead project
P2015Q0365,remove,Capital Planning: Mark Shapiro,5/22/2020,Record closed
P2016Q0223,remove,Capital Planning: Mark Shapiro,5/22/2020,Record closed
P2018R0327,remove,Capital Planning: Mark Shapiro,5/22/2020,"Can not determine number of units, applicant has not indicated how/if they want to move forward"
P2018R0343,remove,Capital Planning: Mark Shapiro,5/22/2020,"Can not determine number of units, current iteration of project too early in process"
P2018X0233,remove,Capital Planning: Mark Shapiro,5/22/2020,"Included in Bronx Metro North neighborhood study, exclude here"
P2018Q0312,add,Capital Planning: Mark Shapiro,5/22/2020,Added per input from Scott Solomon. Comments: Authorization to build long-term care facility. Phasing: 100% in 10+ years bucket
P2018K0039,add,Capital Planning: Mark Shapiro,5/22/2020,Added per input from Collin Lee. Comments: Residential component of this application is as-of-right
P2018Q0046,remove,Capital Planning: Mark Shapiro,5/22/2020,"Excluded, turned into LIC Waterfront Planner-Added Project"
P2012Q0208,remove,Capital Planning: Mark Shapiro,5/22/2020,"Old project, unfamiliar"
P2015M0382,remove,Capital Planning: Mark Shapiro,5/22/2020,Not residential
P2016Q0399,remove,Capital Planning: Mark Shapiro,5/22/2020,Proposed development site is a hotel
P2016R0020,remove,Capital Planning: Mark Shapiro,5/22/2020,We closed this project record so we could probably delete this line. Also this site keeps coming up in other application requests so it might be captured elsewhere.
P2017Q0067,remove,Capital Planning: Mark Shapiro,5/22/2020,"Excluded, turned into LIC Waterfront Planner-Added Project"
P2015R0249,remove,Capital Planning: Mark Shapiro,5/22/2020,Property located within bay street rezoning. Applicant was interested in rezoning prior to Bay Street Rezoning adoption therefore no longer include in list
P2017Q0039,remove,Capital Planning: Mark Shapiro,5/22/2020,Likely to be record closed very soon
P2017K0341,remove,Capital Planning: Mark Shapiro,5/22/2020,Record should be closed.
P2017K0173,remove,Capital Planning: Mark Shapiro,5/22/2020,0
P2016R0018,remove,Capital Planning: Mark Shapiro,5/22/2020,Duplicate of 2020R0344
P2016X0284,remove,Capital Planning: Mark Shapiro,5/22/2020,"Included in Bronx Metro North neighborhood study, exclude here"
P2017M0420,remove,Capital Planning: Mark Shapiro,5/22/2020,Record should be closed
P2017Q0277,remove,Capital Planning: Mark Shapiro,5/22/2020,Project should be record closed
P2018K0050,remove,Capital Planning: Mark Shapiro,5/22/2020,Project not moving forward
P2018M0183,remove,Capital Planning: Mark Shapiro,5/22/2020,Non-residential
P2018Q0090,remove,Capital Planning: Mark Shapiro,5/22/2020,"Project not moving forward, no activity for at least 2 years"
P2018R0015,remove,Capital Planning: Mark Shapiro,5/22/2020,We weren't able to confirm the number of units following the info meeting. We have since closed the project record so perhaps we can just not count this project anymore.
P2011M0185,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2015K0230,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2012K0184,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2012K0187,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2012K0670,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2016Q0472,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2018Q0109,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2014M0309,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2007R0308,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2008R0368,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1985K1222,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1985M0454,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1987X0295,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1988M0700,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989K0697,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989K0827,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989M0101,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989M0103,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989M0128,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989M0210,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989M0864,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989X0084,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1989X0482,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1990K0454,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1990M0722,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1990X0480,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1991K0310,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1992K0485,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994K0350,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997K0334,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997M0428,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1998M0161,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2003X0063,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2003X0317,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2009M0040,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2009X0042,remove,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P2009M0294,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1977R0035,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1977R0084,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1983R0024,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1983R0652,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1985R0180,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1988R0481,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1988R0521,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1988R0535,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1990R0407,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1991R0097,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0005,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0271,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0272,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0282,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0343,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0344,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0358,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0383,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1993R0385,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0036,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0193,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0196,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0215,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0232,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0248,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0266,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
