record_id,field,old_value,new_value,editor,date,record_name,notes
10000,units_gross,,200,Data Engineering,6/26/2020,250 Water St,Reference 5/25 kpdb as base - issue #204
10015,units_gross,,200,Data Engineering,6/26/2020,20 Clifton Street,Reference 5/25 kpdb as base - issue #204
P2005M0053,units_gross,,12618,Capital Planning: Mark Shapiro,4/29/2020,Hudson Yards,"Hudson Yards's EIS unit count is 13508. There are currently 1538 units from overlapping District Improvement Bonus (DIB) residential DCP applications, which are also included in the KPDB. Therefore we are removing these units from the 13508 count."
P2015R0498,units_gross,,5,Capital Planning: Mark Shapiro,5/22/2020,"Arbutus Avenue (Block 6253, Lot 24)",0
P2017R0433,units_gross,,2,Capital Planning: Mark Shapiro,5/22/2020,774 New Dorp Lane,0
2020K0401,units_gross,,3,Capital Planning: Mark Shapiro,5/22/2020,248 50th St Residential Authorization,0
P2015R0550,units_gross,,4,Capital Planning: Mark Shapiro,5/22/2020,Stanley Avenue,0
2020M0207,units_gross,,8,Capital Planning: Mark Shapiro,5/22/2020,43 East 20th Street Conversion,0
2020R0309,units_gross,,40,Capital Planning: Mark Shapiro,5/22/2020,E. Perkiomen Avenue & E. Reading,0
P2017M0265,units_gross,,40,Capital Planning: Mark Shapiro,5/22/2020,135th Street -12th Avenue Rezoning,0
P2018R0035,units_gross,,50,Capital Planning: Mark Shapiro,5/22/2020,209 Flagg Place,0
2019R0233,units_gross,,56,Capital Planning: Mark Shapiro,5/22/2020,Cole Street Development,0
2019K0167,units_gross,,64,Capital Planning: Mark Shapiro,5/22/2020,22+28 Woods Place,Unclear if moving forward
2020K0292,units_gross,,70,Capital Planning: Mark Shapiro,5/22/2020,Bed-Stuy East and Weeksville UDAAP,0
P2017R0009,units_gross,,1,Capital Planning: Mark Shapiro,5/22/2020,31 & 41 Shields Place,0
2019R0087,units_gross,,1,Capital Planning: Mark Shapiro,5/22/2020,91 and 95 Westentry Road,0
P2017Q0380,units_gross,,40,Capital Planning: Mark Shapiro,5/22/2020,26th Road Rezoning,0
P2018R0298,units_gross,,95,Capital Planning: Mark Shapiro,5/22/2020,450 New Dorp Lane  - Sunrise,0
2019K0321,units_gross,,105,Capital Planning: Mark Shapiro,5/22/2020,46 Nelson Street,Project record may be closed in future
2019Q0089,units_gross,,108,Capital Planning: Mark Shapiro,5/22/2020,21-31 46th Avenue Rezoning,Record closed
P2017M0001,units_gross,,111,Capital Planning: Mark Shapiro,5/22/2020,SoHo Tower Parking Garage,0
