record_id,field,old_value,new_value,editor,date,record_name,notes
P2017R0322,units_gross,,118,Capital Planning: Mark Shapiro,5/22/2020,Princes Point Development,0
2019K0223,units_gross,,131,Capital Planning: Mark Shapiro,5/22/2020,1317 Bedford Ave,"Placing in last year's unit count value, project uncertain"
P2016M0220,units_gross,,140,Capital Planning: Mark Shapiro,5/22/2020,West 23rd Street text amendment,0
P2017X0116,units_gross,,170,Capital Planning: Mark Shapiro,5/22/2020,St. Paul's Evangelical Lutheran Church,0
P2016X0348,units_gross,,188,Capital Planning: Mark Shapiro,5/22/2020,815 Westchester Avenue - Rezoning,0
2020K0138,units_gross,,236,Capital Planning: Mark Shapiro,5/22/2020,Ruby Street Rezoning,Project may not move forward
2019Q0035,units_gross,,250,Capital Planning: Mark Shapiro,5/22/2020,Rochdale Village Rezoning,"Project very uncertain, Stephen indicates that there was 1 meeting over a year ago. Suggests far out phasing."
P2017M0394,units_gross,,260,Capital Planning: Mark Shapiro,5/22/2020,NYU Core - 181 Mercer St minor mod,260 units is from a faculty house. There are 1.2K dorm beds as well.
P2017M0184,units_gross,,276,Capital Planning: Mark Shapiro,5/22/2020,West 125th Street Rezoning,"Site relatively uncertain, but for now unit count is 276."
2020Q0106,units_gross,,296,Capital Planning: Mark Shapiro,5/22/2020,Evangel Church Rezoning,0
P2015K0206,units_gross,,2250,Capital Planning: Mark Shapiro,5/22/2020,Greenpoint Terminal Market,Project has not moved forward in the last year
2019K0439,units_gross,,800,Capital Planning: Mark Shapiro,5/22/2020,470 Kent Avenue,0
P2012M0387,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
P2018Q0312,units_gross,,200,Capital Planning: Mark Shapiro,5/22/2020,,
2020M0290,units_gross,,30,Capital Planning: Mark Shapiro,5/22/2020,,
2018Q0489,units_gross,,2100,Capital Planning: Mark Shapiro,5/22/2020,,
2018X0485,units_gross,,3500,Capital Planning: Mark Shapiro,5/22/2020,,
a240aca32014f3980a618b806b402ec8,units_gross,,400,Capital Planning: Mark Shapiro,6/9/2020,,
2018K0456,units_gross,,242,Capital Planning: Mark Shapiro,6/9/2020,,Project has already materialized. Updated project ID added for DOB jobs.
788db8234b6b4deab4556b28de0c3e70,units_gross,,240,Capital Planning: Mark Shapiro,6/9/2020,,
c194962ac9a041e0557df674f645335b,units_gross,,200,Capital Planning: Mark Shapiro,6/9/2020,,
fd5cee49cd6d942d71279c7352955e9f,units_gross,,200,Capital Planning: Mark Shapiro,6/9/2020,,
b4909e7ec7fb45976c4a893c2804c9ec,units_gross,,180,Capital Planning: Mark Shapiro,6/9/2020,,
2019K0238,units_gross,,173,Capital Planning: Mark Shapiro,6/9/2020,,
97d7f0f50553fa206a9a4744a16e43ba,units_gross,,100,Capital Planning: Mark Shapiro,6/9/2020,,
P2013K0352,units_gross,,64,Capital Planning: Mark Shapiro,6/9/2020,,
b64b29ff6c00cbd7a11c6b4947a845a0,units_gross,,50,Capital Planning: Mark Shapiro,6/9/2020,,Replaced by Planner-Added Project: Rockaway Village
68465ee207a8f073d11b9d7d46a6fa5d,units_gross,,14,Capital Planning: Mark Shapiro,6/9/2020,,
3ed9b82c19ca7e78df3945520f1d2d36,prop_within_5_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
ad679d8e6bddec53295c94ad0c78df02,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Project should match with a completed DOB job
b223fe4334d4b2844d42233f7223131c,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
adca2bff7cd34cc4729536084e462de6,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
b5861cdfaf72dc2005ef30b74ffe8e36,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Project has already materialized. Updated project ID added for DOB jobs.
dfbffefca343e462143ddda722bb3c28,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
73e47c59878bee39d4feae6e7fb8e326,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
bbf9a4b014d6fe6d545c4ef6aca30a09,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
95320b5c0b4b7cc9386eb9d7127ba3fd,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
d849579c6f7afc5c1dfdaeef7ca20d97,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
a7c056870a43441dd9ad2fb1e55fe582,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
7cb475e53d8148cd04b8604c68c086c6,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Should match with a higher-certainty job
7ac4035abc2f08446576e7b5a09a723e,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
610f20575bf8a31bc8f2bc7e5eb08389,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
0bcfe6ad490aa79dbb4157b9fab58cad,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
7072a7187235481a5a48fa8abf4a8d0b,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
b668743950b63e4742d1f606e660dd75,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
2b86880b6aa5ed60f22f2d9513dc2a90,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
e1c76cffaeb2a6a82ddd62c8e8534008,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Replaced by Planner-Added Project: Rockaway Village
594c1d592d4de43c6c0c1d232a70feed,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Part of P2014K0469
635ff6537e7a636fd1facb1ee48deb5a,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
836416c20cfc84ac70ed8db6b23cea43,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
d804894b129e639ac73a81ca07f146ea,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
687ec76d3764be70fe3e9b6257b2925d,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Whole unit count is AOR
3332870229c9fd26ee08570350b7c6fa,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
e0d5557e47ffc641dd4e8a265080e6e5,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
68465ee207a8f073d11b9d7d46a6fa5d,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
fd5cee49cd6d942d71279c7352955e9f,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
b223fe4334d4b2844d42233f7223131c,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
adca2bff7cd34cc4729536084e462de6,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,Project should match with a completed DOB job
b5861cdfaf72dc2005ef30b74ffe8e36,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
dfbffefca343e462143ddda722bb3c28,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
73e47c59878bee39d4feae6e7fb8e326,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,Project has already materialized. Updated project ID added for DOB jobs.
95320b5c0b4b7cc9386eb9d7127ba3fd,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
d849579c6f7afc5c1dfdaeef7ca20d97,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
a7c056870a43441dd9ad2fb1e55fe582,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
7cb475e53d8148cd04b8604c68c086c6,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
7ac4035abc2f08446576e7b5a09a723e,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
610f20575bf8a31bc8f2bc7e5eb08389,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
0bcfe6ad490aa79dbb4157b9fab58cad,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,Should match with a higher-certainty job
7072a7187235481a5a48fa8abf4a8d0b,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
b668743950b63e4742d1f606e660dd75,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
2b86880b6aa5ed60f22f2d9513dc2a90,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
e1c76cffaeb2a6a82ddd62c8e8534008,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
594c1d592d4de43c6c0c1d232a70feed,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
635ff6537e7a636fd1facb1ee48deb5a,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
836416c20cfc84ac70ed8db6b23cea43,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,Replaced by Planner-Added Project: Rockaway Village
d804894b129e639ac73a81ca07f146ea,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,Part of P2014K0469
687ec76d3764be70fe3e9b6257b2925d,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
3332870229c9fd26ee08570350b7c6fa,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
e0d5557e47ffc641dd4e8a265080e6e5,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
68465ee207a8f073d11b9d7d46a6fa5d,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
fd5cee49cd6d942d71279c7352955e9f,prop_5_to_10_years,,1,Capital Planning: Mark Shapiro,6/9/2020,,
ad679d8e6bddec53295c94ad0c78df02,prop_5_to_10_years,,0.5,Capital Planning: Mark Shapiro,6/9/2020,,
bbf9a4b014d6fe6d545c4ef6aca30a09,prop_5_to_10_years,,0.5,Capital Planning: Mark Shapiro,6/9/2020,,
3ed9b82c19ca7e78df3945520f1d2d36,prop_5_to_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Project should have fully materialized
P1999R0223,units_gross,,1,HED,4/26/2021,,ZAP review
ad679d8e6bddec53295c94ad0c78df02,prop_after_10_years,,0.5,Capital Planning: Mark Shapiro,6/9/2020,,
bbf9a4b014d6fe6d545c4ef6aca30a09,prop_after_10_years,,0.5,Capital Planning: Mark Shapiro,6/9/2020,,Project should match with a completed DOB job
b223fe4334d4b2844d42233f7223131c,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Project has already materialized. Updated project ID added for DOB jobs.
adca2bff7cd34cc4729536084e462de6,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
3ed9b82c19ca7e78df3945520f1d2d36,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
b5861cdfaf72dc2005ef30b74ffe8e36,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
dfbffefca343e462143ddda722bb3c28,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
73e47c59878bee39d4feae6e7fb8e326,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
95320b5c0b4b7cc9386eb9d7127ba3fd,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
d849579c6f7afc5c1dfdaeef7ca20d97,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Should match with a higher-certainty job
a7c056870a43441dd9ad2fb1e55fe582,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
7cb475e53d8148cd04b8604c68c086c6,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
7ac4035abc2f08446576e7b5a09a723e,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
610f20575bf8a31bc8f2bc7e5eb08389,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
0bcfe6ad490aa79dbb4157b9fab58cad,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
7072a7187235481a5a48fa8abf4a8d0b,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
b668743950b63e4742d1f606e660dd75,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Replaced by Planner-Added Project: Rockaway Village
2b86880b6aa5ed60f22f2d9513dc2a90,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Part of P2014K0469
e1c76cffaeb2a6a82ddd62c8e8534008,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
594c1d592d4de43c6c0c1d232a70feed,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
635ff6537e7a636fd1facb1ee48deb5a,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
836416c20cfc84ac70ed8db6b23cea43,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,Whole unit count is AOR
d804894b129e639ac73a81ca07f146ea,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
687ec76d3764be70fe3e9b6257b2925d,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
3332870229c9fd26ee08570350b7c6fa,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
e0d5557e47ffc641dd4e8a265080e6e5,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
68465ee207a8f073d11b9d7d46a6fa5d,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
fd5cee49cd6d942d71279c7352955e9f,prop_after_10_years,,0,Capital Planning: Mark Shapiro,6/9/2020,,
85101,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
85334,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Project should match with a completed DOB job
62193/975454,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
65011/985836,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
85131,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Project has already materialized. Updated project ID added for DOB jobs.
85335,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
63766/975380,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
63774/976438,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
63883/969097,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991889,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991881,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991887,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Should match with a higher-certainty job
64415/991879,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991882,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991884,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991883,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991880,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991851,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
64415/991886,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Replaced by Planner-Added Project: Rockaway Village
64415/991885,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Part of P2014K0469
c194962ac9a041e0557df674f645335b,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
b4909e7ec7fb45976c4a893c2804c9ec,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
788db8234b6b4deab4556b28de0c3e70,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
ffee0270521a5dcfba96ab6cd042508c,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,Whole unit count is AOR
e0eec4543174669bad16f3b65984c04a,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
b64b29ff6c00cbd7a11c6b4947a845a0,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
a240aca32014f3980a618b806b402ec8,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
97d7f0f50553fa206a9a4744a16e43ba,phasing_known,,1,Capital Planning: Mark Shapiro,6/9/2020,,
2018K0456,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,Redundant with 2019K0333
420652243,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
320968609,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
321383178,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
320912660,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
P2013K0352,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
2019K0238,phasing_known,,0,Capital Planning: Mark Shapiro,6/9/2020,,
85408,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/24/2020,,phasing assumption based on planner-added project
85408,prop_5_to_10_years,,0.5,Capital Planning: Mark Shapiro,6/24/2020,,phasing assumption based on planner-added project
85408,prop_after_10_years,,0.5,Capital Planning: Mark Shapiro,6/24/2020,,phasing assumption based on planner-added project
d804894b129e639ac73a81ca07f146ea,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
68465ee207a8f073d11b9d7d46a6fa5d,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
adca2bff7cd34cc4729536084e462de6,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
73e47c59878bee39d4feae6e7fb8e326,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
95320b5c0b4b7cc9386eb9d7127ba3fd,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
7072a7187235481a5a48fa8abf4a8d0b,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
a7c056870a43441dd9ad2fb1e55fe582,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
0bcfe6ad490aa79dbb4157b9fab58cad,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
594c1d592d4de43c6c0c1d232a70feed,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
b223fe4334d4b2844d42233f7223131c,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
b5861cdfaf72dc2005ef30b74ffe8e36,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
3332870229c9fd26ee08570350b7c6fa,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
2b86880b6aa5ed60f22f2d9513dc2a90,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
P2007R0050,units_gross,,2,HED,4/26/2021,,ZAP review
e1c76cffaeb2a6a82ddd62c8e8534008,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
836416c20cfc84ac70ed8db6b23cea43,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
d849579c6f7afc5c1dfdaeef7ca20d97,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
687ec76d3764be70fe3e9b6257b2925d,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
fd5cee49cd6d942d71279c7352955e9f,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
70b3002a084b4b37e428bb3c2203a697,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
635ff6537e7a636fd1facb1ee48deb5a,phasing_known,,0,Capital Planning: Mark Shapiro,6/24/2020,,Phasing is guessed
85207,prop_within_5_years,,0,Capital Planning: Mark Shapiro,6/26/2020,,phasing assumption based on planner-added project
85207,prop_5_to_10_years,,0.5,Capital Planning: Mark Shapiro,6/26/2020,,phasing assumption based on planner-added project
85207,prop_after_10_years,,0.5,Capital Planning: Mark Shapiro,6/26/2020,,phasing assumption based on planner-added project
P1997R0261,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0055,units_gross,,1,HED,4/26/2021,,ZAP review
P1998R0305,units_gross,,1,HED,4/26/2021,,ZAP review
P2009R0045,units_gross,,1,HED,4/26/2021,,ZAP review
P2008R0029,units_gross,,1,HED,4/26/2021,,ZAP review
P2001R0278,units_gross,,1,HED,4/26/2021,,ZAP review
P1988R0481,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0114,units_gross,,1,HED,4/26/2021,,ZAP review
P1998R0298,units_gross,,1,HED,4/26/2021,,ZAP review
P1998R0367,units_gross,,1,HED,4/26/2021,,ZAP review
P2002R0240,units_gross,,1,HED,4/26/2021,,ZAP review
P2002R0335,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0010,units_gross,,1,HED,4/26/2021,,ZAP review
P2004R0064,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0530,units_gross,,1,HED,4/26/2021,,ZAP review
P1999R0323,units_gross,,1,HED,4/26/2021,,ZAP review
P2001R0029,units_gross,,1,HED,4/26/2021,,ZAP review
P2004R0060,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0187,units_gross,,1,HED,4/26/2021,,ZAP review
P1999R0259,units_gross,,1,HED,4/26/2021,,ZAP review
P1998R0397,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0021,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0016,units_gross,,1,HED,4/26/2021,,ZAP review
P1999R0091,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0531,units_gross,,1,HED,4/26/2021,,ZAP review
P2003R0088,units_gross,,1,HED,4/26/2021,,ZAP review
P1999R0322,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0529,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0066,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0435,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0147,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0528,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0180,units_gross,,1,HED,4/26/2021,,ZAP review
P1999R0056,units_gross,,1,HED,4/26/2021,,ZAP review
P2001R0315,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0193,units_gross,,1,HED,4/26/2021,,ZAP review
P2002R0218,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0013,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0360,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0044,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0389,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0442,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0336,units_gross,,1,HED,4/26/2021,,ZAP review
P1997R0027,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0367,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0365,units_gross,,1,HED,4/26/2021,,ZAP review
P1998R0035,units_gross,,1,HED,4/26/2021,,ZAP review
P1994R0331,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0197,units_gross,,1,HED,4/26/2021,,ZAP review
P1977R0084,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0411,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0409,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0410,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0073,units_gross,,1,HED,4/26/2021,,ZAP review
P1995R0208,units_gross,,1,HED,4/26/2021,,ZAP review
P2005R0077,units_gross,,1,HED,4/26/2021,,ZAP review
P2008R0047,units_gross,,1,HED,4/26/2021,,ZAP review
P2007R0112,units_gross,,1,HED,4/26/2021,,ZAP review
P2007R0019,units_gross,,1,HED,4/26/2021,,ZAP review
P2007R0074,units_gross,,1,HED,4/26/2021,,ZAP review
P2007R0028,units_gross,,1,HED,4/26/2021,,ZAP review
P1983R0024,units_gross,,1,HED,4/26/2021,,ZAP review
P1996R0099,units_gross,,2,HED,4/26/2021,,ZAP review
P1996R0077,units_gross,,2,HED,4/26/2021,,ZAP review
P1994R0215,units_gross,,2,HED,4/26/2021,,ZAP review
P1995R0065,units_gross,,2,HED,4/26/2021,,ZAP review
P1995R0103,units_gross,,2,HED,4/26/2021,,ZAP review
P1985R0180,units_gross,,2,HED,4/26/2021,,ZAP review
P1997R0382,units_gross,,2,HED,4/26/2021,,ZAP review
P1995R0094,units_gross,,2,HED,4/26/2021,,ZAP review
P1997R0439,units_gross,,2,HED,4/26/2021,,ZAP review
P1993R0344,units_gross,,2,HED,4/26/2021,,ZAP review
P1994R0513,units_gross,,2,HED,4/26/2021,,ZAP review
P1996R0151,units_gross,,2,HED,4/26/2021,,ZAP review
P1994R0371,units_gross,,2,HED,4/26/2021,,ZAP review
P1996R0185,units_gross,,2,HED,4/26/2021,,ZAP review
P2003R0101,units_gross,,2,HED,4/26/2021,,ZAP review
P2007R0217,units_gross,,2,HED,4/26/2021,,ZAP review
P2008R0218,units_gross,,2,HED,4/26/2021,,ZAP review
