record_id,field,current_value,old_value,new_value
63766/975380,phasing_known,,,1
63774/976438,phasing_known,,,1
63883/969097,phasing_known,,,1
64415/991889,phasing_known,,,1
64415/991881,phasing_known,,,1
64415/991887,phasing_known,,,1
64415/991879,phasing_known,,,1
64415/991882,phasing_known,,,1
64415/991884,phasing_known,,,1
64415/991883,phasing_known,,,1
64415/991880,phasing_known,,,1
64415/991851,phasing_known,,,1
64415/991886,phasing_known,,,1
64415/991885,phasing_known,,,1
c194962ac9a041e0557df674f645335b,phasing_known,,,1
b4909e7ec7fb45976c4a893c2804c9ec,phasing_known,,,1
788db8234b6b4deab4556b28de0c3e70,phasing_known,,,1
ffee0270521a5dcfba96ab6cd042508c,phasing_known,,,1
e0eec4543174669bad16f3b65984c04a,phasing_known,,,1
b64b29ff6c00cbd7a11c6b4947a845a0,phasing_known,,,1
a240aca32014f3980a618b806b402ec8,phasing_known,,,1
97d7f0f50553fa206a9a4744a16e43ba,phasing_known,,,1
2018K0456,phasing_known,,,0
420652243,phasing_known,,,0
320968609,phasing_known,,,0
321383178,phasing_known,,,0
320912660,phasing_known,,,0
P2013K0352,phasing_known,,,0
2019K0238,phasing_known,,,0
85408,prop_within_5_years,,,0
85408,prop_5_to_10_years,,,0.5
85408,prop_after_10_years,,,0.5
d804894b129e639ac73a81ca07f146ea,phasing_known,,,0
68465ee207a8f073d11b9d7d46a6fa5d,phasing_known,,,0
adca2bff7cd34cc4729536084e462de6,phasing_known,,,0
73e47c59878bee39d4feae6e7fb8e326,phasing_known,,,0
95320b5c0b4b7cc9386eb9d7127ba3fd,phasing_known,,,0
7072a7187235481a5a48fa8abf4a8d0b,phasing_known,,,0
a7c056870a43441dd9ad2fb1e55fe582,phasing_known,,,0
0bcfe6ad490aa79dbb4157b9fab58cad,phasing_known,,,0
594c1d592d4de43c6c0c1d232a70feed,phasing_known,,,0
b223fe4334d4b2844d42233f7223131c,phasing_known,,,0
b5861cdfaf72dc2005ef30b74ffe8e36,phasing_known,,,0
3332870229c9fd26ee08570350b7c6fa,phasing_known,,,0
2b86880b6aa5ed60f22f2d9513dc2a90,phasing_known,,,0
e1c76cffaeb2a6a82ddd62c8e8534008,phasing_known,,,0
836416c20cfc84ac70ed8db6b23cea43,phasing_known,,,0
d849579c6f7afc5c1dfdaeef7ca20d97,phasing_known,,,0
687ec76d3764be70fe3e9b6257b2925d,phasing_known,,,0
fd5cee49cd6d942d71279c7352955e9f,phasing_known,,,0
70b3002a084b4b37e428bb3c2203a697,phasing_known,,,0
635ff6537e7a636fd1facb1ee48deb5a,phasing_known,,,0
85207,prop_within_5_years,,,0
85207,prop_5_to_10_years,,,0.5
85207,prop_after_10_years,,,0.5
P2015M0563,units_gross,,,1
P2013X0348,units_gross,,,3
2018R0471,units_gross,,,6
2019R0080,units_gross,,,1
2020M0414,units_gross,,,32
2020R0110,units_gross,,,2
2020R0131,units_gross,,,1
2020R0141,units_gross,,,1
2020R0148,units_gross,,,2
2020R0176,units_gross,,,12
2020R0303,units_gross,,,6
2020R0360,units_gross,,,2
2021M0311,units_gross,,,575
2021Q0426,units_gross,,,1400
2021R0151,units_gross,,,14
2021R0152,units_gross,,,1
2021R0267,units_gross,,,2
2021R0293,units_gross,,,2
2021R0294,units_gross,,,2
2021R0369,units_gross,,,3
2021R0461,units_gross,,,4
2022K0391,units_gross,,,40
2022K0423,units_gross,,,475
2022Q0309,units_gross,,,138
2022R0164,units_gross,,,9
2022R0169,units_gross,,,6
2022R0229,units_gross,,,20
2022R0384,units_gross,,,3
2022R0454,units_gross,,,6
2022R0455,units_gross,,,2
2022X0205,units_gross,,,152
2023M0117,units_gross,,,677
2023R0189,units_gross,,,300
2023X0227,units_gross,,,970
P2011X0093,units_gross,,,108
P2014K0438,units_gross,,,1925
P2001R0247,units_gross,,,50
P2014R0246,units_gross,,,1
10000,units_gross,,,200
10015,units_gross,,,200
P2005M0053,units_gross,,,12618
P2015R0498,units_gross,,,5
P2017R0433,units_gross,,,2
2020K0401,units_gross,,,3
P2015R0550,units_gross,,,4
2020M0207,units_gross,,,8
2020R0309,units_gross,,,40
P2018R0035,units_gross,,,50
2019R0233,units_gross,,,56
2019K0167,units_gross,,,64
2020K0292,units_gross,,,70
P2017R0009,units_gross,,,1
2019R0087,units_gross,,,1
P2017Q0380,units_gross,,,40
P2018R0298,units_gross,,,95
2019K0321,units_gross,,,105
2019Q0089,units_gross,,,108
P2017M0001,units_gross,,,111
P2017R0322,units_gross,,,118
2019K0223,units_gross,,,131
P2016M0220,units_gross,,,140
P2017X0116,units_gross,,,170
P2016X0348,units_gross,,,188
2020K0138,units_gross,,,236
2019Q0035,units_gross,,,250
P2017M0394,units_gross,,,260
P2017M0184,units_gross,,,276
2020Q0106,units_gross,,,296
P2015K0206,units_gross,,,2250
2019K0439,units_gross,,,800
P2018Q0312,units_gross,,,200
2020M0290,units_gross,,,30
2018X0485,units_gross,,,3500
a240aca32014f3980a618b806b402ec8,units_gross,,,400
2018K0456,units_gross,,,242
788db8234b6b4deab4556b28de0c3e70,units_gross,,,240
c194962ac9a041e0557df674f645335b,units_gross,,,200
fd5cee49cd6d942d71279c7352955e9f,units_gross,,,200
b4909e7ec7fb45976c4a893c2804c9ec,units_gross,,,180
2019K0238,units_gross,,,173
97d7f0f50553fa206a9a4744a16e43ba,units_gross,,,100
P2013K0352,units_gross,,,64
b64b29ff6c00cbd7a11c6b4947a845a0,units_gross,,,50
68465ee207a8f073d11b9d7d46a6fa5d,units_gross,,,14
P1999R0223,units_gross,,,1
P2007R0050,units_gross,,,2
P1997R0261,units_gross,,,1
P1995R0055,units_gross,,,1
P1998R0305,units_gross,,,1
P2009R0045,units_gross,,,1
P2008R0029,units_gross,,,1
P2001R0278,units_gross,,,1
P1988R0481,units_gross,,,1
P1995R0114,units_gross,,,1
P1998R0298,units_gross,,,1
P1998R0367,units_gross,,,1
P2002R0240,units_gross,,,1
P2002R0335,units_gross,,,1
P1996R0010,units_gross,,,1
P2004R0064,units_gross,,,1
P1994R0530,units_gross,,,1
P1999R0323,units_gross,,,1
P2001R0029,units_gross,,,1
P2004R0060,units_gross,,,1
P1995R0187,units_gross,,,1
P1999R0259,units_gross,,,1
P1998R0397,units_gross,,,1
P1995R0021,units_gross,,,1
P1995R0016,units_gross,,,1
P1999R0091,units_gross,,,1
P1994R0531,units_gross,,,1
P2003R0088,units_gross,,,1
P1999R0322,units_gross,,,1
P1994R0529,units_gross,,,1
P1995R0066,units_gross,,,1
P1994R0435,units_gross,,,1
P1996R0147,units_gross,,,1
P1994R0528,units_gross,,,1
P1997R0180,units_gross,,,1
P1999R0056,units_gross,,,1
P2001R0315,units_gross,,,1
P1997R0193,units_gross,,,1
P2002R0218,units_gross,,,1
P1997R0013,units_gross,,,1
P1997R0360,units_gross,,,1
P1997R0044,units_gross,,,1
P1996R0389,units_gross,,,1
P1996R0442,units_gross,,,1
P1997R0336,units_gross,,,1
P1997R0027,units_gross,,,1
P1996R0367,units_gross,,,1
P1996R0365,units_gross,,,1
P1998R0035,units_gross,,,1
P1994R0331,units_gross,,,1
P1996R0197,units_gross,,,1
P1977R0084,units_gross,,,1
P1996R0411,units_gross,,,1
P1996R0409,units_gross,,,1
P1996R0410,units_gross,,,1
P1995R0073,units_gross,,,1
P1995R0208,units_gross,,,1
P2005R0077,units_gross,,,1
P2008R0047,units_gross,,,1
P2007R0112,units_gross,,,1
P2007R0019,units_gross,,,1
P2007R0074,units_gross,,,1
P2007R0028,units_gross,,,1
P1983R0024,units_gross,,,1
P1996R0099,units_gross,,,2
P1996R0077,units_gross,,,2
P1994R0215,units_gross,,,2
P1995R0065,units_gross,,,2
P1995R0103,units_gross,,,2
P1985R0180,units_gross,,,2
P1997R0382,units_gross,,,2
P1995R0094,units_gross,,,2
P1997R0439,units_gross,,,2
P1993R0344,units_gross,,,2
P1994R0513,units_gross,,,2
P1996R0151,units_gross,,,2
P1994R0371,units_gross,,,2
P1996R0185,units_gross,,,2
P2003R0101,units_gross,,,2
P2007R0217,units_gross,,,2
P2008R0218,units_gross,,,2
P2008R0277,units_gross,,,2
P2007R0058,units_gross,,,2
P2006R0231,units_gross,,,2
P2007R0142,units_gross,,,2
P2007R0222,units_gross,,,2
P2008R0095,units_gross,,,2
P1996R0139,units_gross,,,2
P1996R0374,units_gross,,,2
P2005R0284,units_gross,,,2
P1994R0433,units_gross,,,2
P1994R0461,units_gross,,,2
P1994R0432,units_gross,,,2
P1994R0036,units_gross,,,2
P1996R0115,units_gross,,,2
P1994R0232,units_gross,,,2
P1999R0225,units_gross,,,2
P2004R0238,units_gross,,,2
P1999R0411,units_gross,,,2
P1999R0250,units_gross,,,2
P2001R0123,units_gross,,,2
P1991R0097,units_gross,,,2
P1994R0193,units_gross,,,2
P1996R0366,units_gross,,,2
P2005R0384,units_gross,,,2
P1998R0018,units_gross,,,2
P2005R0349,units_gross,,,2
P1995R0357,units_gross,,,2
P2011R0083,units_gross,,,2
P2009R0078,units_gross,,,2
P2003R0441,units_gross,,,2
P2003R0041,units_gross,,,2
P2010R0026,units_gross,,,2
P2009R0097,units_gross,,,2
P2006R0199,units_gross,,,2
P2010R0021,units_gross,,,2
P1993R0305,units_gross,,,2
P1993R0306,units_gross,,,2
P1992R0182,units_gross,,,2
P1994R0367,units_gross,,,2
P1994R0075,units_gross,,,2
P1994R0289,units_gross,,,2
P1994R0368,units_gross,,,2
P1994R0113,units_gross,,,2
P1994R0249,units_gross,,,2
P1995R0115,units_gross,,,2
P1994R0252,units_gross,,,2
P1995R0264,units_gross,,,2
P1994R0251,units_gross,,,2
P1994R0276,units_gross,,,2
P1995R0391,units_gross,,,2
P1997R0134,units_gross,,,2
P1998R0005,units_gross,,,2
P1998R0176,units_gross,,,2
P1996R0067,units_gross,,,2
P1999R0376,units_gross,,,2
P2001R0316,units_gross,,,2
P1996R0268,units_gross,,,2
P1998R0086,units_gross,,,2
P1994R0527,units_gross,,,2
P1995R0013,units_gross,,,2
P1998R0396,units_gross,,,2
P1995R0210,units_gross,,,2
P1995R0098,units_gross,,,2
P1995R0014,units_gross,,,2
P1996R0294,units_gross,,,2
P1998R0079,units_gross,,,2
P2002R0027,units_gross,,,2
P1995R0015,units_gross,,,2
P1994R0354,units_gross,,,2
P1995R0097,units_gross,,,2
P1998R0334,units_gross,,,2
P1998R0333,units_gross,,,2
P1994R0463,units_gross,,,2
P1990R0308,units_gross,,,2
P1994R0464,units_gross,,,2
P1999R0016,units_gross,,,2
P2003R0139,units_gross,,,2
P1999R0071,units_gross,,,2
P1996R0043,units_gross,,,2
P1998R0335,units_gross,,,2
P1996R0387,units_gross,,,2
P1996R0226,units_gross,,,2
P1996R0391,units_gross,,,2
P1996R0309,units_gross,,,2
P1998R0274,units_gross,,,2
P1997R0049,units_gross,,,2
P1997R0050,units_gross,,,2
P1996R0392,units_gross,,,2
P1998R0037,units_gross,,,2
P1997R0158,units_gross,,,2
P1997R0047,units_gross,,,2
P1998R0075,units_gross,,,2
P1997R0370,units_gross,,,2
P1996R0390,units_gross,,,2
P1997R0018,units_gross,,,2
P1998R0201,units_gross,,,2
P1997R0048,units_gross,,,2
P1996R0368,units_gross,,,2
P1998R0076,units_gross,,,2
P1999R0377,units_gross,,,2
P1999R0374,units_gross,,,2
P1999R0378,units_gross,,,2
P1999R0373,units_gross,,,2
P1999R0372,units_gross,,,2
P1995R0305,units_gross,,,2
P1995R0303,units_gross,,,2
P1995R0304,units_gross,,,2
P1997R0328,units_gross,,,2
P1998R0186,units_gross,,,2
P1998R0293,units_gross,,,2
P2003R0442,units_gross,,,2
P1995R0375,units_gross,,,2
P1996R0027,units_gross,,,2
P1994R0110,units_gross,,,2
P2005R0348,units_gross,,,2
P2004R0154,units_gross,,,2
P2003R0010,units_gross,,,2
P1998R0386,units_gross,,,2
P2013R0149,units_gross,,,2
P2012R0033,units_gross,,,2
P2007R0247,units_gross,,,2
P2006R0277,units_gross,,,2
P1997R0096,units_gross,,,2
P2013R0327,units_gross,,,2
P2001R0035,units_gross,,,2
P2014R0360,units_gross,,,2
P1997R0197,units_gross,,,2
P1996R0232,units_gross,,,3
P1988R0426,units_gross,,,3
P2010R0176,units_gross,,,3
P1993R0264,units_gross,,,3
P2010R0211,units_gross,,,3
P2009R0044,units_gross,,,3
P1995R0309,units_gross,,,3
P1995R0228,units_gross,,,3
P1999R0249,units_gross,,,3
P1995R0017,units_gross,,,3
P2010R0152,units_gross,,,3
P2009R0104,units_gross,,,3
P1994R0277,units_gross,,,3
P1994R0422,units_gross,,,3
P1996R0412,units_gross,,,3
P2011R0178,units_gross,,,3
P2007R0045,units_gross,,,3
P1983R0652,units_gross,,,3
P2001R0020,units_gross,,,4
P1995R0184,units_gross,,,4
P1996R0068,units_gross,,,4
P1994R0217,units_gross,,,4
P1994R0525,units_gross,,,4
P2002R0252,units_gross,,,4
P1998R0253,units_gross,,,4
P1998R0395,units_gross,,,4
P1998R0393,units_gross,,,4
P2000R0373,units_gross,,,4
P2004R0029,units_gross,,,4
P1996R0134,units_gross,,,4
P1998R0385,units_gross,,,4
P1994R0234,units_gross,,,4
P2003R0233,units_gross,,,4
P2003R0014,units_gross,,,4
P2003R0140,units_gross,,,4
P1997R0038,units_gross,,,4
P2003R0069,units_gross,,,4
P1998R0381,units_gross,,,4
P1994R0389,units_gross,,,4
P2000R0067,units_gross,,,4
P1996R0039,units_gross,,,4
P1994R0462,units_gross,,,4
P1995R0111,units_gross,,,4
P1995R0110,units_gross,,,4
P1994R0009,units_gross,,,4
P1995R0057,units_gross,,,4
P2003R0162,units_gross,,,4
P1998R0096,units_gross,,,4
P1997R0293,units_gross,,,4
P2009R0124,units_gross,,,4
P2006R0203,units_gross,,,4
P1994R0183,units_gross,,,4
P1993R0307,units_gross,,,4
P1994R0360,units_gross,,,4
P1995R0384,units_gross,,,4
P1994R0269,units_gross,,,4
P1996R0214,units_gross,,,4
P2002R0166,units_gross,,,4
P2004R0215,units_gross,,,4
P1997R0019,units_gross,,,4
P1998R0275,units_gross,,,4
P1996R0257,units_gross,,,4
P2001R0220,units_gross,,,4
P1998R0372,units_gross,,,4
P2006R0104,units_gross,,,4
P2004R0151,units_gross,,,4
P1999R0123,units_gross,,,4
P1997R0452,units_gross,,,4
P1999R0125,units_gross,,,4
P1996R0418,units_gross,,,4
P1996R0416,units_gross,,,4
P1995R0266,units_gross,,,4
P1996R0215,units_gross,,,4
P2005R0350,units_gross,,,4
P2002R0368,units_gross,,,4
P1997R0020,units_gross,,,4
P1995R0389,units_gross,,,4
P1995R0329,units_gross,,,4
P1995R0223,units_gross,,,4
P1993R0271,units_gross,,,4
P1993R0272,units_gross,,,4
P1999R0075,units_gross,,,4
P1993R0358,units_gross,,,4
P2009R0221,units_gross,,,4
P1988R0521,units_gross,,,4
P2007R0131,units_gross,,,4
P2007R0366,units_gross,,,4
P1994R0248,units_gross,,,4
P1999R0222,units_gross,,,4
P1993R0383,units_gross,,,4
P1996R0152,units_gross,,,4
P1998R0364,units_gross,,,4
P1999R0412,units_gross,,,4
P1999R0414,units_gross,,,4
P1994R0507,units_gross,,,4
P1999R0224,units_gross,,,4
P2002R0353,units_gross,,,4
P1994R0520,units_gross,,,4
P1999R0413,units_gross,,,4
P2003R0146,units_gross,,,4
P2003R0147,units_gross,,,4
P1996R0225,units_gross,,,4
P1997R0202,units_gross,,,4
P2001R0180,units_gross,,,4
P2003R0309,units_gross,,,4
P1999R0087,units_gross,,,4
P1999R0263,units_gross,,,4
P2000R0215,units_gross,,,4
P1997R0127,units_gross,,,4
P1997R0028,units_gross,,,4
P1994R0196,units_gross,,,4
P2000R0114,units_gross,,,4
P1998R0276,units_gross,,,4
P1998R0189,units_gross,,,4
P1998R0268,units_gross,,,4
P1999R0346,units_gross,,,4
P2005R0098,units_gross,,,4
P2006R0255,units_gross,,,4
P2013R0044,units_gross,,,4
P2016R0307,units_gross,,,4
P2013R0266,units_gross,,,4
P1994R0042,units_gross,,,4
P2013R0325,units_gross,,,4
P2012R0671,units_gross,,,4
P1988R0535,units_gross,,,5
P2003R0045,units_gross,,,5
P2003R0066,units_gross,,,5
P1998R0080,units_gross,,,5
P1997R0129,units_gross,,,5
P1996R0381,units_gross,,,5
P1997R0451,units_gross,,,5
P2002R0363,units_gross,,,5
P1995R0388,units_gross,,,5
P1997R0324,units_gross,,,5
P2004R0059,units_gross,,,5
P1997R0409,units_gross,,,5
P2008R0284,units_gross,,,5
P1998R0157,units_gross,,,6
P1998R0392,units_gross,,,6
P1998R0399,units_gross,,,6
P1999R0303,units_gross,,,6
P1996R0406,units_gross,,,6
P1996R0234,units_gross,,,6
P1999R0291,units_gross,,,6
P1996R0042,units_gross,,,6
P1994R0290,units_gross,,,6
P1996R0025,units_gross,,,6
P1997R0206,units_gross,,,6
P1997R0023,units_gross,,,6
P1998R0012,units_gross,,,6
P1994R0519,units_gross,,,6
P1994R0450,units_gross,,,6
P2008R0186,units_gross,,,6
P1996R0176,units_gross,,,6
P2004R0100,units_gross,,,6
P1997R0223,units_gross,,,6
P1997R0335,units_gross,,,6
P1996R0142,units_gross,,,6
P1995R0385,units_gross,,,6
P1998R0199,units_gross,,,6
P1995R0387,units_gross,,,6
P1996R0308,units_gross,,,6
2019R0143,units_gross,,,6
P2017R0292,units_gross,,,6
2019R0142,units_gross,,,6
P2017R0397,units_gross,,,6
P2017R0041,units_gross,,,6
2019R0090,units_gross,,,6
2018R0497,units_gross,,,6
P1999R0143,units_gross,,,7
P1998R0055,units_gross,,,7
P1998R0210,units_gross,,,8
P1998R0378,units_gross,,,8
P2002R0306,units_gross,,,8
P1995R0096,units_gross,,,8
P2004R0028,units_gross,,,8
P2001R0095,units_gross,,,8
P1994R0199,units_gross,,,8
P1994R0007,units_gross,,,8
P1996R0111,units_gross,,,8
P2003R0238,units_gross,,,8
P1994R0518,units_gross,,,8
P2007R0125,units_gross,,,8
P1988R0269,units_gross,,,8
P1994R0268,units_gross,,,8
P1994R0361,units_gross,,,8
P1994R0526,units_gross,,,8
P1999R0238,units_gross,,,8
P2004R0279,units_gross,,,8
P2011R0152,units_gross,,,8
P1999R0345,units_gross,,,8
P2005R0381,units_gross,,,8
P1998R0015,units_gross,,,8
P2008R0187,units_gross,,,8
P2007R0215,units_gross,,,8
P2006R0240,units_gross,,,8
P2007R0314,units_gross,,,8
P1995R0313,units_gross,,,8
P2001R0209,units_gross,,,8
P1996R0233,units_gross,,,8
P2004R0101,units_gross,,,8
P1999R0296,units_gross,,,8
P2002R0193,units_gross,,,8
P2005R0055,units_gross,,,8
P2000R0383,units_gross,,,8
P2003R0447,units_gross,,,8
P2005R0141,units_gross,,,8
P2004R0289,units_gross,,,8
P2005R0245,units_gross,,,8
P2004R0211,units_gross,,,8
P2012R0539,units_gross,,,8
P1999R0076,units_gross,,,8
P2000R0034,units_gross,,,8
P1993R0343,units_gross,,,8
P1996R0055,units_gross,,,8
P2018R0227,units_gross,,,8
P2016R0352,units_gross,,,8
P2012R0025,units_gross,,,9
P1998R0190,units_gross,,,9
P2000R0236,units_gross,,,9
P2002R0108,units_gross,,,9
P1998R0125,units_gross,,,9
P1998R0078,units_gross,,,10
P1996R0009,units_gross,,,10
P1993R0385,units_gross,,,10
P2007R0013,units_gross,,,10
P2008R0062,units_gross,,,10
P1996R0061,units_gross,,,10
P1995R0312,units_gross,,,10
P2001R0034,units_gross,,,10
P2003R0176,units_gross,,,10
P2001R0134,units_gross,,,10
P2004R0237,units_gross,,,10
P2002R0136,units_gross,,,10
P2004R0156,units_gross,,,10
P2000R0364,units_gross,,,10
P1996R0385,units_gross,,,10
P2005R0300,units_gross,,,10
P1997R0172,units_gross,,,10
P2003R0085,units_gross,,,10
P1998R0013,units_gross,,,10
P1998R0091,units_gross,,,10
P2002R0040,units_gross,,,10
P1997R0383,units_gross,,,10
P1999R0022,units_gross,,,10
P1999R0273,units_gross,,,10
P1998R0056,units_gross,,,10
P1999R0298,units_gross,,,10
2019R0148,units_gross,,,10
P2018R0289,units_gross,,,10
P2010R0240,units_gross,,,10
P2001R0253,units_gross,,,11
P1996R0056,units_gross,,,12
P1999R0155,units_gross,,,12
P1997R0102,units_gross,,,12
P1999R0292,units_gross,,,12
P1997R0464,units_gross,,,12
P1996R0386,units_gross,,,12
P1997R0436,units_gross,,,12
P1993R0273,units_gross,,,12
P1999R0272,units_gross,,,12
P2004R0244,units_gross,,,12
P2004R0030,units_gross,,,12
P1999R0293,units_gross,,,12
P2002R0307,units_gross,,,12
P1998R0188,units_gross,,,12
P1996R0382,units_gross,,,12
P1998R0042,units_gross,,,12
P2001R0217,units_gross,,,12
P1999R0124,units_gross,,,12
P2001R0322,units_gross,,,12
P1998R0014,units_gross,,,12
P2009R0236,units_gross,,,12
P1997R0250,units_gross,,,13
P1997R0046,units_gross,,,14
P1995R0310,units_gross,,,14
P1998R0036,units_gross,,,14
P1997R0274,units_gross,,,14
P1995R0127,units_gross,,,14
P1998R0332,units_gross,,,14
P1996R0413,units_gross,,,14
P1994R0431,units_gross,,,14
P1998R0380,units_gross,,,14
P1994R0274,units_gross,,,14
P1998R0020,units_gross,,,14
P1997R0227,units_gross,,,15
P1996R0108,units_gross,,,15
P1995R0189,units_gross,,,16
P2002R0214,units_gross,,,16
P2000R0307,units_gross,,,16
P2002R0082,units_gross,,,16
P2005R0154,units_gross,,,16
P2007R0374,units_gross,,,16
P1998R0175,units_gross,,,16
