record_id,action,record_id_dob
P2018R0247,remove,520384058
P2018R0247,remove,520328057
P2012K0250,remove,320896349
2020K0316,remove,320896349
P2015K0246,remove,321597884
P2015K0246,remove,320896349
P2015K0246,remove,321721320
P2015K0246,remove,320915006
P2015K0246,remove,321497457
P2015K0246,remove,320722599
P2015K0246,remove,320722624
P2015K0246,remove,321584166
P2015K0246,remove,320912321
P2015K0246,remove,320722615
P2015K0246,remove,321681505
P2015K0246,remove,321915718
P2015K0246,remove,320722606
2018M0383,remove,121188188
2019M0254,remove,121188918
2021M0262,remove,121190692
P2004R0335,remove,500783636
P2004R0335,remove,500259034
P2004R0335,remove,500259025
P2004R0335,remove,500259016
P2004R0335,remove,500259007
P2004R0335,remove,500258990
P2004R0335,remove,500258981
P2004R0335,remove,500258972
P2005R0244,remove,500258945
P2005R0244,remove,500258954
P2005R0244,remove,500258963
P2005R0244,remove,500258972
P2001R0091,remove,500310095
P2001R0091,remove,500310086
P2001R0091,remove,500310102
P2001R0091,remove,500310111
P2001R0091,remove,500310120
P2001R0091,remove,500453298
P2004R0007,remove,500427781
P2004R0007,remove,500427790
P2000R0194,remove,500397723
P2004R0007,remove,500397723
P2004R0007,remove,500397732
P2000R0222,remove,500438902
P2000R0326,remove,500446760
P2000R0326,remove,500446779
P2000R0326,remove,500446788
P2000R0326,remove,500446804
P2004R0145,remove,500497429
P2001R0358,remove,500607373
P2004R0197,remove,500607373
P2004R0197,remove,500607391
P2001R0358,remove,500695474
P2004R0078,remove,500695474
P2000R0193,remove,500523374
P2000R0193,remove,500525443
P2003R0296,remove,500525050
P2003R0294,remove,500575424
P2003R0294,remove,500575433
P2003R0294,remove,500575442
P2003R0294,remove,500575576
P2002R0309,remove,500655481
P2005R0092,remove,500637395
P2003R0350,remove,500648089
P2004R0129,remove,500648123
P2004R0129,remove,500648132
P2004R0129,remove,500648141
2019R0032,remove,520389071
P2003R0350,remove,520389071
P2006R0045,remove,500648187
P2004R0213,remove,500652885
P2004R0214,remove,500745919
P2004R0316,remove,500657247
P2004R0316,remove,500657256
P2003R0098,remove,500666111
P2003R0098,remove,500709682
P2003R0098,remove,520045790
P2003R0246,remove,500693127
P2004R0102,remove,500693127
P2002R0233,remove,500693831
P2002R0024,remove,500701083
P2000R0372,remove,500705427
P2006R0135,remove,500705427
P2008R0003,remove,510018160
P2004R0199,remove,520111557
P2006R0135,remove,520111557
P2010R0222,remove,520214713
P2003R0240,remove,500706140
P2004R0173,remove,500778562
P2004R0173,remove,520374737
P2005R0249,remove,500820999
P2003R0051,remove,520313312
P2017R0136,remove,520313321
P2003R0051,remove,500605197
P2003R0051,remove,500864718
P2014R0110,remove,510006486
P2007R0390,remove,510006495
