Project Info,,,,,,Units,,Phasing,,,,Project Flags,,,,Duplicate Projects,,,,,,,,,,Geographic Info (shapefiles also included),,,,,
Source,Project ID,Project Name,Neighborhood,Borough,Status,Total Units,Counted Units,Portion Built 2025,Portion Built 2035,Portion Built 2055,Planner Input,NYCHA Flag,GQ Flag,Senior Housing Flag,Assisted Living Flag,DOB Matched Projects,DOB Matched Units,HPD Projected Closings Matched Projects,HPD Projected Closings Matched Units,HPD RFP Matched Projects,HPD RFP Incremental Units,EDC Matched Projects,EDC Incremental Units,DCP Matched Applications,DCP Incremental Units,Community School District,Subdistrict,Elementary School Zone,Middle School Zone,Census Tract,TAZ
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 5,247 Vermont Street (NIHOP and NCP Clusters),East New York,Brooklyn,Rezoning Commitment,6,6,1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19: 100%,19 / 2: 100%,19K149: 100%,"19K661,19K662: 100%",3114400: 100%,1946: 100%
Neighborhood Study Rezoning Commitments,Inwood Rezoning Commitment 2,4095 Ninth Avenue,Inwood,Manhattan,Rezoning Commitment,570,570,1.00,--,--,Targeting 2020 RFP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6: 100%,6 / 1: 100%,"06M018,06M098,06M278: 100%",06M052: 100%,1029900: 100%,187: 100%
Neighborhood Study Rezoning Commitments,Bay Street Corridor Rezoning Commitment 1,54 Central Avenue,Bay Street Corridor,Staten Island,Rezoning Commitment,64,64,0.50,0.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31: 100%,31 / 4: 100%,"31R016,31R074,31R010: 100%",31R061: 100%,5000300: 100%,2145: 100%
Neighborhood Study Rezoning Commitments,Jerome Rezoning Commitment 5,97 West 169th Street,Jerome,Bronx,Rezoning Commitment,50,50,1.00,--,--,City commitment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9: 100%,9 / 2: 100%,09X011: 100%,"09X328,09X594: 100%",2021100: 100%,1069: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 7,Acacia Gardens,East Harlem,Manhattan,Rezoning Commitment,179,--,--,--,--,under construction,--,--,--,--,"121190022, 401 EAST 120 STREET",179,--,--,--,--,--,--,--,--,4: 100%,4 / 2: 100%,"04M112,04M206: 100%",Zoned to District 4.  No zoned school. : 100%,1019200: 100%,219: 100%
Neighborhood Study Rezoning Commitments,Downtown Far Rockaway Rezoning Commitment 1,Beach 21st Street,Downtown Far Rockaway,Queens,Rezoning Commitment,224,--,--,--,--,--,--,--,--,--,--,--,"67367/989184, 1051 BEACH 21 STREET",224,"11, Beach 21st Street - EDC",--,--,--,--,--,27: 100%,27 / 1: 100%,27Q362: 100%,"27Q053,27Q319: 100%",4100802: 100%,967: 100%
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 2,Christopher-Glenmore,East New York,Brooklyn,Rezoning Commitment,230,--,--,--,--,--,--,--,--,--,--,--,--,--,"21, Brownsville Site B - Christopher/Glenmore Ave",230,--,--,--,--,23: 100%,23 / 1: 100%,District 23 is a choice district. No zoned school. : 100%,Zoned to District 23.  No zoned school. : 100%,3090800: 100%,1945: 100%
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 4,Dinsmore - Chestnut,East New York,Brooklyn,Rezoning Commitment,275,--,--,--,--,permit for 275 units issued in 2018.,--,--,--,--,321384177,275,"58780/986454, 76 DINSMORE PLACE",--,"12, Dinsmore-Chestnut",--,--,--,--,--,19: 100%,19 / 1: 100%,19K065: 100%,"19K171, 19K760: 100%",3117800: 100%,1513: 100%
Neighborhood Study Rezoning Commitments,Inwood Rezoning Commitment 1,DOT Bridge Repair Facility,Inwood,Manhattan,Rezoning Commitment,375,375,0.50,0.50,--,"Study underway to determine relocation needs, timeline, and costRFP timing TBD based on relocation timeline",--,--,--,--,--,--,--,--,--,--,--,--,--,--,6: 100%,6 / 1: 100%,06M005: 100%,06M322: 100%,1029900: 100%,187: 100%
Neighborhood Study Rezoning Commitments,Inwood Rezoning Commitment 3,Dyckman Houses,Inwood,Manhattan,Rezoning Commitment,215,215,1.00,--,--,Targeting 2020 RFP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6: 100%,6 / 1: 100%,06M005: 100%,06M322: 100%,1029900: 100%,187: 100%
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 1,Hector's Court Men's Shelter Closure (NIHOP and NCP Clusters),East New York,Brooklyn,Rezoning Commitment,50,50,1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23: 100%,23 / 1: 100%,District 23 is a choice district. No zoned school. : 100%,Zoned to District 23.  No zoned school. : 100%,3036502: 100%,1955: 100%
Neighborhood Study Rezoning Commitments,Inwood Rezoning Commitment 4,Inwood Library,Inwood,Manhattan,Rezoning Commitment,175,--,--,--,--,Targeting December 2019 Closing ,--,--,--,--,--,--,"66903/983225, 4790 BROADWAY",175,"14, Inwood Library",--,--,--,--,--,6: 100%,6 / 1: 100%,"06M018,06M098,06M278: 100%",06M052: 100%,1029100: 100%,189: 100%
Neighborhood Study Rezoning Commitments,Bay Street Corridor Rezoning Commitment 2,Jersey Street Garage,Bay Street Corridor,Staten Island,Rezoning Commitment,223,223,--,1.00,--,"Won BSA approval for senior housing in M1-1 (45-08-BZ, DCP-N 110038 RAR) arguing that roads dont support trucks relating to M-zoning.Â  Maybe still lack of viable M-uses?",--,--,1,--,--,--,--,--,--,--,--,--,--,--,31: 100%,31 / 4: 100%,"31R016,31R074,31R010: 100%",31R061: 100%,5001100: 100%,2105: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 8,Lexington Gardens,East Harlem,Manhattan,Rezoning Commitment,400,--,--,--,--,under construction,--,--,--,--,"121191432, 1461 PARK AVENUE",400,--,--,--,--,--,--,"P2014M0548, Lexington Gardens II",--,4: 100%,4 / 1: 100%,04M072: 100%,Zoned to District 4.  No zoned school. : 100%,1017200: 100%,254: 100%
Neighborhood Study Rezoning Commitments,Jerome Rezoning Commitment 4,Morrisania Diagnostic and Treatment Center Surface Lot,Jerome,Bronx,Rezoning Commitment,180,180,1.00,--,--,City commitment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9: 100%,9 / 1: 100%,"09X114,09X218: 100%","09X022,09X323: 100%",2019700: 100%,1064: 100%
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 6,Phipps House,East New York,Brooklyn,Rezoning Commitment,900,--,--,--,--,permit for 304 units (affordable) issued in 2017.,--,--,--,--,"321184446, 226 EUCLID AVENUE",403,"62193/975454, 250 EUCLID AVENUE | 62195/976494, 3301 ATLANTIC AVENUE",332,--,--,--,--,--,--,19: 100%,19 / 1: 100%,19K065: 100%,"19K171, 19K760: 100%",3117800: 100%,1513: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 6,Sendero Verde,East Harlem,Manhattan,Rezoning Commitment,711,--,--,--,--,--,--,--,--,--,"121188491, 1681 MADISON AVENUE",384,"64027/988996, 60 EAST 112 STREET | 63974/972163, 50 EAST 112 STREET | 64027/988997, 75 EAST 111 STREET",315,"36, SustaiNYC (E. 111th Street)",--,--,--,"P2017M0259, Sendero Verde East 111th Street",--,4: 100%,4 / 2: 100%,04M375: 100%,Zoned to District 4.  No zoned school. : 100%,1017402: 100%,310: 100%
