Project Info,,,,,,Units,,Phasing,,,,Project Flags,,,,Duplicate Projects,,,,,,,,,,Geographic Info (shapefiles also included),,,,,
Source,Project ID,Project Name,Neighborhood,Borough,Status,Total Units,Counted Units,Portion Built 2025,Portion Built 2035,Portion Built 2055,Planner Input,NYCHA Flag,GQ Flag,Senior Housing Flag,Assisted Living Flag,DOB Matched Projects,DOB Matched Units,HPD Projected Closings Matched Projects,HPD Projected Closings Matched Units,HPD RFP Matched Projects,HPD RFP Incremental Units,EDC Matched Projects,EDC Incremental Units,DCP Matched Applications,DCP Incremental Units,Community School District,Subdistrict,Elementary School Zone,Middle School Zone,Census Tract,TAZ
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 9,(Projected RFP) DSNY 123rd Street Parking Lot (Site 3),East Harlem,Manhattan,Rezoning Commitment,115,115,--,1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5: 100%,5 / 1: 100%,05M030: 100%,Zoned to District 5.  No zoned school. : 100%,1019600: 100%,239: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 1,(Projected RFP) HRA East Harlem Multiâ€,East Harlem,Manhattan,Rezoning Commitment,200,200,1.00,--,--,estimated 175 -211 (depending on the zoning; this may be a rezoning),--,--,--,--,--,--,--,--,--,--,--,--,--,--,4: 100%,4 / 2: 100%,"04M112,04M206: 100%",Zoned to District 4.  No zoned school. : 100%,1019200: 100%,219: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 3,(Projected RFP) NYPD 25th Precinct Parking Lot (Site 2),East Harlem,Manhattan,Rezoning Commitment,240,240,1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4: 100%,4 / 2: 100%,04M007: 100%,Zoned to District 4.  No zoned school. : 100%,1018200: 100%,255: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 5,(Projected RFP) Urban Assembly School (Site 4),East Harlem,Manhattan,Rezoning Commitment,75,75,--,--,1.00,SCA/DOE have not committed to developing this site. It was explored as part of the process but we donâ€™t expect any residential units on this site by 2035,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5: 100%,5 / 1: 100%,05M030: 100%,Zoned to District 5.  No zoned school. : 100%,1020600: 100%,241: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 4,125th St MEC Center,East Harlem,Manhattan,Rezoning Commitment,700,--,--,--,--,--,--,--,--,--,"121204464, 201 EAST 125 STREET",404,--,--,--,--,--,--,"2019M0031, 201 East 125th Street",549,5: 100%,5 / 1: 100%,05M030: 100%,Zoned to District 5.  No zoned school. : 100%,1024200: 100%,220: 100%
Neighborhood Study Rezoning Commitments,East Harlem Rezoning Commitment 2,126th St Bus Depot,East Harlem,Manhattan,Rezoning Commitment,730,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2, 126 St Bus Depot",730,"P2016M0429, East 126th Street Bus Depot Memorial Project",--,5: 100%,5 / 1: 100%,05M030: 100%,Zoned to District 5.  No zoned school. : 100%,1024200: 100%,220: 100%
Neighborhood Study Rezoning Commitments,Jerome Rezoning Commitment 1,1337 Jerome Avenue,Jerome,Bronx,Rezoning Commitment,--,--,1.00,--,--,City commitment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9: 100%,9 / 2: 100%,"09X294,09X311: 100%",09X117: 100%,2021900: 100%,1070: 100%
Neighborhood Study Rezoning Commitments,Jerome Rezoning Commitment 2,1640-1642 Anthony Avenue,Jerome,Bronx,Rezoning Commitment,50,50,1.00,--,--,City commitment,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9: 100%,9 / 2: 100%,09X042: 100%,"09X313,09X339: 100%",2016700: 100%,1050: 100%
Neighborhood Study Rezoning Commitments,Jerome Rezoning Commitment 3,1647 Popham Avenue,Jerome,Bronx,Rezoning Commitment,29,--,--,--,--,City commitment,--,--,--,--,--,--,--,--,--,--,--,--,"2019X0192, Melrose-Morrisania Cluster",29,9: 100%,9 / 3: 100%,09X109: 100%,09X229: 100%,2020501: 100%,1091: 100%
Neighborhood Study Rezoning Commitments,East New York Rezoning Commitment 3,1801 Pitkin Avenue (NIHOP and NCP Clusters),East New York,Brooklyn,Rezoning Commitment,12,12,1.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23: 100%,23 / 1: 100%,District 23 is a choice district. No zoned school. : 100%,Zoned to District 23.  No zoned school. : 100%,3090800: 100%,1945: 100%
