source,project_id,project_name,project_status,project_type,number_of_units,geom
DCP Application,2018R0366,SS SD 245 Edgegrove Avenue,Complete,,,
DCP Application,P2010K0027,ROSE PLAZA ON THE RIVER,Complete,,,
DCP Application,P2013R0112,16 Wandel Avenue,Complete,,2,
DCP Application,P2012R0610,SS 136 Mayberry Promenade,Complete,,,
DCP Application,2018R0514,SS 45 Dominic Lane,Complete,,,
DCP Application,2018R0512,SS 24 Ottavio Promenade,Complete,,,
DCP Application,P2018R0014,SS 1452 Drumgoole Road West,Complete,,,
DCP Application,2019R0049,SD SS 78 Woodland Ave,Complete,,,
DCP Application,P1987X0345,SHOREHAVEN,Complete,,,
DCP Application,P2017R0291,SS 471 Rensselaer Avenue,Complete,,,
DCP Application,P2013R0125,SS SD Parkwood Avenue,Complete,,,
DCP Application,2018R0392,"SS SD Detroit and Edgegrove Avenues (B 6228, L 23)",Complete,,,
DCP Application,P2016R0285,SS 215 McBaine Avenue,Complete,,,
DCP Application,2018R0394,"SS SD Canton Avenue and Holcomb Avenue(6272,13/15)",Complete,,,
DCP Application,2019R0274,SS Clarke Avenue,Complete,,,
DCP Application,2018R0388,SS 230 Yetman Avenue,Complete,,,
DCP Application,P2014R0518,SS Newton Street,Complete,,,
DCP Application,2018R0391,SS SD 167 Detroit Avenue and Edgegrove Avenue,Complete,,,
DCP Application,P2013K0259,East River Ferry Text Amendment,Complete,,,
DCP Application,2019R0143,SS 6600 Hylan Boulevard,Complete,,,
DCP Application,2018R0510,SS 203 Main Street,Complete,,,
DCP Application,P2016R0307,SS 72 & 76 Tenafly Place,Complete,,,
DCP Application,2019K0115,Hans S. Christian Memorial Kindergarten,Complete,,,
DCP Application,2019R0048,SS Annadale Road & South Railroad,Complete,,,
DCP Application,P2014R0174,Torrice Loop,Complete,,0,
DCP Application,2018R0513,SS 25 Dominic Lane,Complete,,,
DCP Application,2019R0264,SS 217 Main Street,Complete,,,
DCP Application,2018R0347,SS 21 Finlay Avenue,Complete,,,
DCP Application,2018R0423,SS 123 Finlay Avenue,Complete,,,
DCP Application,2019K0116,238 President Street House,Complete,,,
DCP Application,2019R0050,SS 123 Connecticut Street,Complete,,,
DCP Application,P2015M0280,688 Broadway (Minor Modification),Complete,,,
DCP Application,2018R0393,SS 217 Vineland Avenue,Complete,,,
DCP Application,P2017R0247,46 East Loop Road (2017),Complete,,,
DCP Application,P2015R0469,SS SD 708 Rockaway Street,Complete,,,
DCP Application,P2015X0344,SEWERAGE DISTRICT S.P. #43 D17,Complete,,,
DOB,320613056,742 PINE STREET,In progress,New Building,2,
DOB,421464944,204 BEACH 28 STREET,In progress (last plan disapproved),New Building,5,
DOB,321076679,53 MONTAUK AVE,In progress,New Building,3,
DOB,320613154,738 PINE STREET,In progress (last plan disapproved),New Building,2,
DOB,220152732,2383 LORILLARD PLACE,Permit issued,New Building,7,
DOB,321403566,99 GROVE STREET,Complete (demolition),Demolition,-2,
DOB,220236509,2033 NEWBOLD AVE,Complete (demolition),Demolition,-1,
DOB,420492773,140-26 NEGUNDO AVENUE,In progress (last plan disapproved),New Building,1,
DOB,520212868,373 SHARON AVENUE,Complete (demolition),Demolition,0,
