source,project_id,project_name,project_status,project_type,number_of_units,geom
DOB,420331420,65-32 38 AVE,Withdrawn,New Building,14,
DOB,320981639,804 ST JOHNS PL,Complete (demolition),Demolition,-1,
DOB,320613163,740 PINE STREET,In progress,New Building,2,
DOB,220614164,909 PIERCE AVE,In progress (last plan disapproved),New Building,2,
DOB,520365300,6630 HYLAN BOULEVARD,In progress,New Building,2,
DOB,520128629,114 PEARL STREET,In progress (last plan disapproved),New Building,1,
DOB,421940911,220-36 93 ROAD,In progress (last plan disapproved),New Building,2,
DOB,520231188,5 HERBERT STREET,Permit issued,New Building,2,
DOB,421469663,194-12 DUNTON AVENUE,Permit issued,New Building,1,
DOB,320961429,804 ST JOHNS PLACE,In progress (last plan disapproved),Alteration,2,
DOB,520128610,108 PEARL STREET,In progress (last plan disapproved),New Building,1,
DOB,220638987,1899 CROTONA AVE,Permit issued,New Building,64,
DOB,320177964,24 6TH AVENUE,Complete (demolition),Demolition,-21,
DOB,320230558,812 PACIFIC STREET,Complete (demolition),Demolition,-8,
DOB,520382327,103 FINGERBOARD RD,In progress,New Building,8,
DOB,320625267,615 DEAN STREET,Withdrawn,New Building,246,
DOB,320913482,298 SHERIDAN AVENUE,In progress (last plan disapproved),New Building,4,
DOB,520393486,15 ESTELLE PLACE,Filed,New Building,2,
DOB,320613065,744 PINE STREET,In progress (last plan disapproved),New Building,2,
DOB,321970890,55 SUMMIT STREET,In progress (last plan disapproved),New Building,10,
DOB,520055751,524A MIDLAND AVENUE,Withdrawn,New Building,1,
DOB,520212859,373 SHARON AVENUE,Complete (demolition),Demolition,-1,
DOB,520279635,29 HERBERT STREET,In progress,New Building,2,
DOB,421469707,194-28 DUNTON AVENUE,In progress (last plan disapproved),New Building,1,
DOB,421665763,62-38 HILLMEYER ROAD,In progress (last plan disapproved),New Building,2,
DOB,220536463,1899 CROTONA AVE,Complete (demolition),Demolition,-2,
DOB,520372560,2748 AMBOY ROAD,In progress (last plan disapproved),New Building,2,
DOB,320613074,746 PINE STREET,In progress (last plan disapproved),New Building,2,
DOB,421469672,194-16 DUNTON AVENUE,Permit issued,New Building,1,
DOB,220691393,3838 CARPENTER AVE,In progress (last plan disapproved),New Building,10,
DOB,520385823,82 TILSON PLACE,In progress (last plan disapproved),New Building,1,
DOB,520316783,85 TRENTON CT,In progress (last plan disapproved),New Building,2,
DOB,520393468,7 ESTELLE PLACE,Filed,New Building,2,
DOB,520393477,11 ESTELLE PLACE,Filed,New Building,2,
Neighborhood Study Rezoning Commitments,JEROME Rezoning Commitment,130 West 182nd St,Rezoning Commitment,,,
Neighborhood Study Rezoning Commitments,EAST HARLEM Rezoning Commitment,Acacia Gardens,Rezoning Commitment,,179,
Neighborhood Study Rezoning Commitments,EAST HARLEM Rezoning Commitment,(Projected RFP) DSNY 123rd Street Parking Lot (Site 3),Rezoning Commitment,,115,
HPD Projected Closings,66858/982995,2628 FULTON STREET,Projected,,216,
HPD Projected Closings,60824/986455,1071-1075 BRYANT AVENUE,Projected,,62,
HPD Projected Closings,63883/969097,784 COURTLANDT AVENUE,Projected,,20,
HPD Projected Closings,63774/976438,98 FEATHERBED LANE,Projected,,100,
HPD Projected Closings,68211/989031,24-Mar 27 AVENUE,Projected,,163,
HPD Projected Closings,65320/988893,445 EAST 142 STREET,Projected,,152,
