,xcoord,ycoord,coord_source,grc,grc2,msg,msg2,hnum,sname,house,bbl
93,1006727,0247563,Address Geosupport,00,,,,98,FEATHERBED LANE,98,2028720152
94,1025874,0207735,BBL Geosupport,00,,,,,,,
95,1026225,0207998,Address Geosupport,00,,,,110-41,COLONIAL AVENUE,110-41,4021590002
96,1026050,0207543,Address Geosupport,00,,,,108-75,62 DRIVE,108-75,4021590002
97,1005711,0195938,Address Geosupport,00,,,,1250,WILLOUGHBY AVENUE,1250,3032100021
98,1016396,0250416,Address Geosupport,00,,,,720,EAST 187 STREET,720,2031030033
99,0998269,0233844,Address Geosupport,01,,ADDR NUMBER ALTERED: RANGE ASSUMED. USING DIGITS BEFORE DASH ONLY,,202-258,WEST 124 STREET,202-258,1019290057
100,1011556,0239506,Address Geosupport,00,,,,1007,UNION AVENUE,1007,2026690080
101,1007277,0238909,Address Geosupport,00,,,,784,COURTLANDT AVENUE,784,2024040002
102,1012827,0181562,Address Geosupport,00,,,,455,ALABAMA AVENUE,455,3038030006
103,0998194,0234535,Address Geosupport,00,,,,267,WEST 126 STREET,267,1019320005
104,0999209,0229697,Address Geosupport,00,,,,50,EAST 112 STREET,50,1016170120
105,0999338,0229625,Address Geosupport,00,,,,60,EAST 112 STREET,60,1016170020
106,0999170,0229417,Address Geosupport,00,,,,75,EAST 111 STREET,75,1016170020
107,1027947,0246017,Address Geosupport,00,,,,1340,BLONDELL AVENUE,1340,2041340001
108,1016715,0256266,Address Geosupport,00,,,,2997,MARION AVENUE,2997,2032810023
109,1052966,0158806,Address Geosupport,00,,,,19-38,CORNAGA AVENUE,19-38,4155610058
110,1052781,0158998,Address Geosupport,01,,ADDR NUMBER ALTERED: HYPHEN DELETED,,10-18,BEACH 20 STREET,18-Oct,4155610008
111,1020840,0250420,Address Geosupport,00,,,,2111,WHITE PLAINS ROAD,2111,2042860040
112,1005865,0243389,Address Geosupport,00,,,,1164,RIVER AVENUE,1164,2024880001
113,1019728,0178644,BBL Geosupport,00,,,,,,,
114,0991413,0188820,Address Geosupport,01,,ADDR NUMBER ALTERED: RANGE ASSUMED. USING DIGITS BEFORE DASH ONLY,,142-150,SOUTH PORTLAND AVENUE,142-150,3020030037
115,0997960,0191204,Address Geosupport,00,,,,633,DEKALB AVENUE,633,3017740074
116,0996995,0187311,Address Geosupport,00,,,,1187,FULTON STREET,1187,3020000043
117,0998010,0191205,Address Geosupport,00,,,,648,DEKALB AVENUE,648,3017790022
118,0989971,0201640,Address Geosupport,01,,302 EAST 2 STREET IS ON LEFT SIDE OF EAST HOUSTON STREET,,302,EAST 2 STREET,302,1003720049
119,1019146,0265724,Address Geosupport,00,,,,69,EAST 233 STREET,69,2033650071
120,0999083,0223776,Address Geosupport,00,,,,1780,1 AVENUE,1780,1015730020
121,1000650,0189700,Address Geosupport,00,,,,645,GATES AVENUE,645,3018110019
122,1019648,0241778,Address Geosupport,00,,,,1675,WESTCHESTER AVENUE,1675,2037800001
123,1023421,0182953,Address Geosupport,00,,,,573,EMERALD STREET,573,3044960048
124,1004276,0188886,Address Geosupport,00,,,,687A,HANCOCK STREET,687A,3016570059
125,1002104,0192651,Address Geosupport,00,,,,821,WILLOUGHBY AVENUE,821,3015890058
126,1004697,0187576,Address Geosupport,00,,,,278,BAINBRIDGE STREET,278,3016870047
127,1004309,0185160,Address Geosupport,00,,,,1662,BERGEN STREET,1662,3013560006
128,1003537,0189046,Address Geosupport,00,,,,697A,JEFFERSON AVENUE,697A,3016510052
129,1004049,0187269,Address Geosupport,00,,,,358,MALCOLM X BOULEVARD,358,3016860048
130,1004396,0187265,Address Geosupport,00,,,,191,CHAUNCEY STREET,191,3016870073
