source,bbl_count,bbl_nongeom_count,bbl_nongeom_pct,prj_count,prj_nongeom_count,proj_nongeom_pct
Neighborhood Study Rezoning Commitments,48,3,6.25,27,3,11.11
DCP Application,631,36,5.71,628,36,5.73
HPD Projected Closings,187,6,3.21,187,6,3.21
DOB,69962,43,0.06,69962,43,0.06
Empire State Development Projected Projects,34,19,55.88,2,0,0.00
Future Neighborhood Studies,6,0,0.00,6,0,0.00
EDC Projected Projects,18,0,0.00,17,0,0.00
HPD RFPs,181,38,20.99,43,0,0.00
Neighborhood Study Projected Development Sites,6,0,0.00,6,0,0.00
